Tipo_buque,Tipo_carga,Porcentaje,Año
Petroleros,Granel,12,2023
Pesqueros,Granel,47,2023
Areneros,Granel,17,2023
Graneleros,Granel,8,2023
Químicos,Granel,5,2023
Otros,Granel,10,2023
Barcazas,Contenedor,18,2023
Portacontenedores,Contenedor,70,2023
Remolcadores,Contenedor,8,2023
Otros,Contenedor,4,2023
Petroleros,Granel,10,2022
Pesqueros,Granel,42,2022
Areneros,Granel,18,2022
Graneleros,Granel,13,2022
Químicos,Granel,9,2022
Otros,Granel,8,2022
Barcazas,Contenedor,24,2022
Portacontenedores,Contenedor,60,2022
Remolcadores,Contenedor,10,2022
Otros,Contenedor,6,2022
Petroleros,Granel,13,2021
Pesqueros,Granel,47,2021
Areneros,Granel,17,2021
Graneleros,Granel,12,2021
Químicos,Granel,4,2021
Otros,Granel,8,2021
Barcazas,Contenedor,15,2021
Motor,Contenedor,13,2021
Portacontenedores,Contenedor,64,2021
Otros,Contenedor,8,2021
Petroleros,Granel,14,2020
Pesqueros,Granel,51,2020
Areneros,Granel,16,2020
Graneleros,Granel,12,2020
Otros,Granel,7,2020
Barcazas,Contenedor,17,2020
Motor,Contenedor,16,2020
Portacontenedores,Contenedor,58,2020
Remolcadores,Contenedor,9,2020
